ID,발행일,연도,매체,기사제목,대상국,세부지역,기사초점,WNI수(기사표기),모집플랫폼,약속직무,보상표현,이동경로,강제성/착취,프레이밍,TPPO 언급,정부/기관 대응,연구우선순위,코딩깊이,접근상태,출처URL,근거요약,사건군,비고
A001,2022-08-05,2022,ANTARA 지역판,12 WNI korban penipuan kerja online di Kamboja tiba di tanah air,캄보디아,,사례/송환,12,,,,,,피해자,가능성/선별,송환,중,메타,검색결과 확인,https://jabar.antaranews.com/berita/397865/12-wni-korban-penipuan-kerja-online-di-kamboja-tiba-di-tanah-air?page=all,,KH-2022-08,
A002,2022-08-08,2022,ANTARA 지역판,Kemlu kembali pulangkan 14 WNI korban online scam dari Kamboja,캄보디아,,송환/보호,14,,,,,,피해자,없음,송환,중,메타,검색결과 확인,https://megapolitan.antaranews.com/berita/206197/kemlu-kembali-pulangkan-14-wni-korban-online-scam-dari-kamboja-melalui-bandara-seetta,,KH-2022-08,
T001,2022-08-09,2022,Tirto,Kemlu pulangkan 14 WNI korban penipuan dari Kamboja,캄보디아,,송환,14,,,,,,피해자,가능성/선별,송환,중,메타,검색결과 확인,https://tirto.id/kemlu-pulangkan-14-wni-korban-penipuan-dari-kamboja-guXo,,KH-2022-08,
A003,2022-10-07,2022,ANTARA,Sebanyak 934 WNI jadi korban online scam di Asia Tenggara,동남아 다국가,,규모/통계,934,,,,,,피해자,명시,영사보호·경고,중,메타,검색결과 확인,https://www.antaranews.com/berita/3165793/sebanyak-934-wni-jadi-korban-online-scam-di-asia-tenggara,캄보디아·미얀마·필리핀·라오스·태국 등에서 보고된 인도네시아인 사례를 집계한다.,REG-2022,
S001,2022-10-07,2022,Suara,Sebanyak 934 WNI jadi korban online scam di Asia Tenggara,동남아 다국가,,규모/통계,934,소셜미디어 구인,,,,,피해자,명시,경고,중,메타,검색결과 확인,https://www.suara.com/tekno/2022/10/07/224052/sebanyak-934-wni-jadi-korban-online-scam-di-asia-tenggara,,REG-2022,
C001,2022-12-12,2022,CNN Indonesia,34 WNI korban perusahaan scam di Kamboja diselamatkan,캄보디아,,구조/보호,34,,,,,,피해자,가능성/선별,구조·영사보호,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20221212065826-106-886116/34-wni-korban-perusahaan-scam-di-kamboja-diselamatkan,,KH-34-2022,
A004,2023-02-11,2023,ANTARA,Jumlah WNI korban online scam di luar negeri meningkat,동남아 다국가,,규모/통계,"1,185(2022)",,,,,,피해자,가능성/선별,외교부 집계,중,메타,검색결과 확인,https://www.antaranews.com/berita/3391059/jumlah-wni-korban-online-scam-di-luar-negeri-meningkat,"2022년 캄보디아 864명, 미얀마 81명, 필리핀 107명, 라오스 102명, 태국 31명으로 보도한다.",REG-2023,
C002,2023-05-05,2023,CNN Indonesia,Menlu klaim perdagangan manusia kian subur di Asia Tenggara,동남아 다국가,,정책/지역구조,,,,,,,구조/정책,명시,ASEAN 협력 촉구,중,메타,검색결과 확인,https://www.cnnindonesia.com/internasional/20230505164025-106-945839/menlu-klaim-perdagangan-manusia-kian-subur-di-asia-tenggara,,ASEAN-2023,
C003,2023-05-05,2023,CNN Indonesia,KBRI Manila evakuasi 143 WNI korban online scam,필리핀,,구조/송환,143,,,,,,피해자,명시,대피·송환,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20230505164445-106-945841/kbri-manila-evakuasi-143-wni-korban-online-scam,,PH-143-2023,
L001,2023-05-05,2023,Liputan6,Pria 39 tahun ditangkap polisi karena praktek TPPO ke Kamboja,캄보디아,,모집/브로커,,다수 소셜미디어,,고임금,,,피해자,명시,모집책 체포,상,부분,검색결과 확인,https://www.liputan6.com/news/read/5278225/pria-39-tahun-ditangkap-polisi-karena-praktek-tppo-ke-kamboja,,RECRUITER-KH-2023,
A005,2023-05-06,2023,ANTARA,Menlu Retno soroti besarnya dampak TPPO dalam kasus online scam,동남아 다국가,,정책/TPPO,"1,841",,,,,,구조/정책,명시,ASEAN 공조 촉구,중,메타,검색결과 확인,https://www.antaranews.com/berita/3523485/menlu-retno-soroti-besarnya-dampak-tppo-dalam-kasus-online-scam,,ASEAN-2023,
C004,2023-05-08,2023,CNN Indonesia,Jokowi soal perdagangan orang: WNI jadi korban terbesar di ASEAN,동남아 다국가,,정책/지역구조,,,,,,,피해자,명시,ASEAN 의제화,중,메타,검색결과 확인,https://www.cnnindonesia.com/internasional/20230508142706-106-946737/jokowi-soal-perdagangan-orang-wni-jadi-korban-terbesar-di-asean,,ASEAN-2023,
D001,2023-05-08,2023,Detik,"Gandeng polisi Filipina, Polri ungkap kasus kejahatan scam internasional",필리핀,,단속/구조,155,,,,,,피해자,명시,양국 경찰 공조·구조,중,메타,검색결과 확인,https://news.detik.com/berita/d-6710185/gandeng-polisi-filipina-polri-ungkap-kasus-kejahatan-scam-internasional,,PH-2023,
D002,2023-05-16,2023,Detik,Tersangka TPPO di Myanmar iming-imingi 25 WNI gaji Rp 12 juta,미얀마,Myawaddy,모집/착취,25,,,월 Rp12백만,태국 경유·비공식 국경이동,12시간 노동·무장경비·감금·임금 미지급·폭행/전기충격,피해자,명시,모집책 수사,상,심층,본문 확인,https://news.detik.com/berita/d-6723724/tersangka-tppo-di-myanmar-iming-imingi-25-wni-gaji-rp-12-juta,고임금 약속 뒤 폐쇄된 작업장에 수용되어 사기노동과 폭력을 겪은 사례다.,MY-25-2023,
D003,2023-05-17,2023,Detik,5 fakta sejoli tega bikin WNI korban TPPO di Myanmar disiksa,미얀마,,착취/폭력,,,,,,감금·폭행·전기충격,피해자,명시,경찰 수사,상,부분,검색결과 확인,https://news.detik.com/berita/d-6724375/5-fakta-sejoli-tega-bikin-wni-korban-tppo-di-myanmar-disiksa,,MY-25-2023,
